word,stem_group,type
소망하다,231,원형
소망되다,231,명사+기타
소소하다,232,원형
소소해지다,232,지다
소소해하다,232,-어 하다
소외되다,233,원형
소원하다,234,원형
소원하다,235,원형
소원해지다,235,지다
소원해하다,235,-어 하다
속상하다,236,원형
속상해지다,236,지다
속상해하다,236,-어 하다
속시원해지다,237,지다
속시원해하다,237,-어 하다
속시원하다,237,명사+기타
속타다,238,원형
속타하다,238,-어 하다
송구스럽다,239,원형
송구스러워지다,239,지다
송구스러워하다,239,-어 하다
송구하다,240,원형
송구해지다,240,지다
송구해하다,240,-어 하다
송연하다,241,원형
송연해지다,241,지다
송연해하다,241,-어 하다
수줍다,242,원형
수줍어지다,242,지다
수줍어하다,242,-어 하다
수치스럽다,243,원형
수치스러워지다,243,지다
수치스러워하다,243,-어 하다
숙연하다,244,원형
숙연해지다,244,지다
숙연해하다,244,-어 하다
스산스럽다,245,원형
스산스러워지다,245,지다
스산스러워하다,245,-어 하다
스산하다,246,원형
스산해지다,246,지다
스산해하다,246,-어 하다
슬겁다,247,원형
슬거워지다,247,지다
슬거워하다,247,-어 하다
슬프다,248,원형
슬퍼지다,248,지다
슬퍼하다,248,-어 하다
시기하다,249,원형
시기해지다,249,지다
시들하다,250,원형
시들해지다,250,지다
시들해하다,250,-어 하다
시름겹다,251,원형
시름겨워지다,251,지다
시름겨워하다,251,-어 하다
시무룩하다,252,원형
시무룩해지다,252,지다
시무룩해하다,252,-어 하다
시샘하다,253,원형
시샘나다,253,명사+기타
시시하다,254,원형
시시해지다,254,지다
시시해하다,254,-어 하다
시원섭섭하다,255,원형
시원섭섭해지다,255,지다
시원섭섭해하다,255,-어 하다
시원스럽다,256,원형
시원스러워지다,256,지다
시원스러워하다,256,-어 하다
시원찮다,257,원형
시원찮아지다,257,지다
시원찮아하다,257,-어 하다
시원하다,258,원형
시원해지다,258,지다
시원해하다,258,-어 하다
시큰둥하다,259,원형
시큰둥해지다,259,지다
시큰둥해하다,259,-어 하다
시틋하다,260,원형
시틋해지다,260,지다
시틋해하다,260,-어 하다
식상하다,261,원형
식상해지다,261,지다
식상해하다,261,-어 하다
신경질나다,262,원형
신경질내다,262,명사+기타
신나다,263,원형
신나지다,263,지다
신나하다,263,-어 하다
신명나다,264,원형
신명나지다,264,지다
신명나하다,264,-어 하다
신물나다,265,원형
신물나지다,265,지다
신물나하다,265,-어 하다
신바람나다,266,원형
신바람나하다,266,-어 하다
실망스럽다,267,원형
실망스러워지다,267,지다
실망스러워하다,267,-어 하다
실망하다,268,원형
실망해하다,268,-어 하다
실망되다,268,명사+기타
싫다,269,원형
싫어지다,269,지다
싫어하다,269,-어 하다
싫증나다,270,원형
싫증나지다,270,지다
싫증나하다,270,-어 하다
싫증내다,270,명사+기타
심드렁하다,271,원형
심드렁해지다,271,지다
심드렁해하다,271,-어 하다
심란스럽다,272,원형
심란스러워지다,272,지다
심란스러워하다,272,-어 하다
심란하다,273,원형
심란해지다,273,지다
심란해하다,273,-어 하다
심려스럽다,274,원형
심려스러워지다,274,지다
심려스러워하다,274,-어 하다
심려하다,275,원형
심려되다,275,명사+기타
심심하다,276,원형
심심해지다,276,지다
심심해하다,276,-어 하다
심통나다,277,원형
심통나지다,277,지다
심통내다,277,명사+기타
싱숭생숭하다,278,원형
싱숭생숭해지다,278,지다
싱숭생숭해하다,278,-어 하다
쌀쌀하다,279,원형
쌀쌀해지다,279,지다
쌀쌀해하다,279,-어 하다
쑥스럽다,280,원형
쑥쓰러워지다,280,지다
쑥쓰러워하다,280,-어 하다
씁쓸하다,281,원형
씁쓸해지다,281,지다
씁쓸해하다,281,-어 하다
아깝다,282,원형
아까워지다,282,지다
아까워하다,282,-어 하다
아니꼽다,283,원형
아니꼬워지다,283,지다
아니꼬워하다,283,-어 하다
아름답다,284,원형
아름다워지다,284,지다
아름다워하다,284,-어 하다
아리다,285,원형
아려지다,285,지다
아려하다,285,-어 하다
아쉽다,286,원형
아쉬워지다,286,지다
아쉬워하다,286,-어 하다
아슬아슬하다,287,원형
아슬아슬해지다,287,지다
아슬아슬해하다,287,-어 하다
아연실색하다,288,원형
아연실색해지다,288,지다
아연실색해하다,288,-어 하다
아연하다,289,원형
아연해지다,289,지다
아연해하다,289,-어 하다
아프다,290,원형
아파하다,290,-어 하다
안달복달하다,291,원형
안달복달해지다,291,지다
안달복달해하다,291,-어 하다
안달복달되다,291,명사+기타
안달하다,292,원형
안달해지다,292,지다
안달해하다,292,-어 하다
안달되다,292,명사+기타
안도하다,293,원형
안도해지다,293,지다
안도해하다,293,-어 하다
안도되다,293,명사+기타
안심하다,294,원형
안심해지다,294,지다
안심해하다,294,-어 하다
안심되다,294,명사+기타
안쓰럽다,295,원형
안쓰러워지다,295,지다
안쓰러워하다,295,-어 하다
안절부절하다,296,원형
안절부절해지다,296,지다
안절부절해하다,296,-어 하다
안절부절되다,296,명사+기타
안정하다,297,원형
안정되다,297,명사+기타
안타깝다,298,원형
안타까워지다,298,지다
안타까워하다,298,-어 하다
암담하다,299,원형
암담해지다,299,지다
암담해하다,299,-어 하다
애끓다,300,원형
애끓어하다,300,-어 하다
애달프다,301,원형
애달퍼지다,301,지다
애달퍼하다,301,-어 하다
애련하다,302,원형
애련해지다,302,지다
애련해하다,302,-어 하다
애석하다,303,원형
애석해지다,303,지다
애석해하다,303,-어 하다
애잔하다,304,원형
애잔해지다,304,지다
애잔해하다,304,-어 하다
애절하다,305,원형
애절해지다,305,지다
애절해하다,305,-어 하다
애지중지하다,306,원형
애지중지해지다,306,지다
애지중지해하다,306,-어 하다
애착하다,307,원형
애착가다,307,명사+기타
애처롭다,308,원형
애처로워지다,308,지다
애처로워하다,308,-어 하다
애타다,309,원형
애타하다,309,-어 하다
애통하다,310,원형
애통해지다,310,지다
애통해하다,310,-어 하다
애틋하다,311,원형
애틋해지다,311,지다
애틋해하다,311,-어 하다
야박스럽다,312,원형
야박스러워지다,312,지다
야박스러워하다,312,-어 하다
야박하다,313,원형
야박해지다,313,지다
야박해하다,313,-어 하다
,313,명사+기타
야속스럽다,314,원형
야속스러워지다,314,지다
야속스러워하다,314,-어 하다
,314,명사+기타
야속하다,315,원형
야속해지다,315,지다
야속해하다,315,-어 하다
,315,명사+기타
약오르다,316,원형
약올라하다,316,-어 하다
,316,명사+기타
얄밉다,317,원형
얄미워지다,317,지다
얄미워하다,317,-어 하다
,317,명사+기타
어리둥절하다,318,원형
어리둥절해지다,318,지다
어리둥절해하다,318,-어 하다
,318,명사+기타
어색스럽다,319,원형
어색스러워지다,319,지다
어색스러워하다,319,-어 하다
어색하다,320,원형
어색해지다,320,지다
어색해하다,320,-어 하다
어수선스럽다,321,원형
어수선스러워지다,321,지다
어수선스러워하다,321,-어 하다
어수선하다,322,원형
어수선해지다,322,지다
어수선해하다,322,-어 하다
어이없다,323,원형
어이없어지다,323,지다
어이없어하다,323,-어 하다
어처구니없다,324,원형
어처구니없어지다,324,지다
어처구니없어하다,324,-어 하다
억울하다,325,원형
억울해지다,325,지다
억울해하다,325,-어 하다
언짢다,326,원형
언짢아지다,326,지다
언짢아하다,326,-어 하다
얼떨떨하다,327,원형
